name,tdp
AMD Opteron 1218,103.0
AMD Opteron 1218 HE,65.0
AMD Opteron 1220,103.0
AMD Opteron 1222,103.0
AMD Opteron 1352,75.0
AMD Opteron 1354,75.0
AMD Opteron 1356,75.0
AMD Opteron 1381,75.0
AMD Opteron 1385,115.0
AMD Opteron 1389,75.0
AMD Opteron 144,67.0
AMD Opteron 146,67.0
AMD Opteron 148,85.3
AMD Opteron 150,85.3
AMD Opteron 152,104.0
AMD Opteron 154,104.0
AMD Opteron 165,110.0
AMD Opteron 170,110.0
AMD Opteron 175,110.0
AMD Opteron 180,110.0
AMD Opteron 185,110.0
AMD Opteron 2218,95.0
AMD Opteron 2218,95.0
AMD Opteron 2220,95.0
AMD Opteron 2220,95.0
AMD Opteron 2220 SE,119.0
AMD Opteron 2222,95.0
AMD Opteron 2354,115.0
AMD Opteron 2354,115.0
AMD Opteron 2356,75.0
AMD Opteron 2356,75.0
AMD Opteron 2373 EE,60.0
AMD Opteron 2374 HE,55.0
AMD Opteron 2378,75.0
AMD Opteron 2382,115.0
AMD Opteron 2384,75.0
AMD Opteron 2387,75.0
AMD Opteron 2393 SE,105.0
AMD Opteron 2419 EE,60.0
AMD Opteron 2427,75.0
AMD Opteron 2427,75.0
AMD Opteron 2431,75.0
AMD Opteron 2435,75.0
AMD Opteron 2435,75.0
AMD Opteron 254,68.0
AMD Opteron 270,95.0
AMD Opteron 275,95.0
AMD Opteron 280,95.0
AMD Opteron 285,95.0
AMD Opteron 285,95.0
AMD Opteron 290,95.0
AMD Opteron 290,95.0
AMD Opteron 3250 HE,45.0
AMD Opteron 3260 HE,45.0
AMD Opteron 3280,65.0
AMD Opteron 3320 EE,25.0
AMD Opteron 3350 HE,45.0
AMD Opteron 3365,65.0
AMD Opteron 3380,65.0
AMD Opteron 4130,95.0
AMD Opteron 4130,95.0
AMD Opteron 4162 EE,35.0
AMD Opteron 4170 HE,65.0
AMD Opteron 4184,95.0
AMD Opteron 4226,95.0
AMD Opteron 4274 HE,65.0
AMD Opteron 4280,95.0
AMD Opteron 4284,95.0
AMD Opteron 4284,95.0
AMD Opteron 4332 HE,65.0
AMD Opteron 4334,95.0
AMD Opteron 4365 EE,40.0
AMD Opteron 4386,95.0
AMD Opteron 4386,95.0
AMD Opteron 6128,115.0
AMD Opteron 6128,115.0
AMD Opteron 6128 HE,85.0
AMD Opteron 6128 HE,85.0
AMD Opteron 6134,115.0
AMD Opteron 6136,115.0
AMD Opteron 6136,115.0
AMD Opteron 6164 HE,85.0
AMD Opteron 6172,115.0
AMD Opteron 6174,115.0
AMD Opteron 6174,115.0
AMD Opteron 6176 SE,140.0
AMD Opteron 6176 SE,140.0
AMD Opteron 6212,115.0
AMD Opteron 6220,115.0
AMD Opteron 6220,115.0
AMD Opteron 6234,115.0
AMD Opteron 6234,115.0
AMD Opteron 6238,115.0
AMD Opteron 6272,115.0
AMD Opteron 6272,115.0
AMD Opteron 6274,115.0
AMD Opteron 6274,115.0
AMD Opteron 6276,115.0
AMD Opteron 6276,115.0
AMD Opteron 6276,115.0
AMD Opteron 6278,115.0
AMD Opteron 6281,0.0
AMD Opteron 6282 SE,140.0
AMD Opteron 6282 SE,140.0
AMD Opteron 6287 SE,0.0
AMD Opteron 6328,115.0
AMD Opteron 6328,115.0
AMD Opteron 6328,115.0
AMD Opteron 6344,115.0
AMD Opteron 6348,115.0
AMD Opteron 6348,115.0
AMD Opteron 6366 HE,85.0
AMD Opteron 6366 HE,85.0
AMD Opteron 6376,115.0
AMD Opteron 6376,115.0
AMD Opteron 6376,115.0
AMD Opteron 6378,115.0
AMD Opteron 6378,115.0
AMD Opteron 6378,115.0
AMD Opteron 6380,115.0
AMD Opteron 6380,115.0
AMD Opteron 6386 SE,140.0
AMD Opteron 6386 SE,140.0
AMD Opteron 8356,75.0
AMD Opteron 8378,115.0
AMD Opteron 8439 SE,105.0
AMD Opteron 8439 SE,105.0
AMD Opteron 885,95.0
AMD Opteron X2170 APU,25.0
AMD Opteron X3216 APU,15.0
AMD Opteron X3418 APU,25.0
AMD Opteron X3421 APU,35.0
AMD Phenom 8250 Triple-Core,65.0
AMD Phenom 8250e Triple-Core,65.0
AMD Phenom 8400 Triple-Core,95.0
AMD Phenom 8450 Triple-Core,95.0
AMD Phenom 8450e Triple-Core,65.0
AMD Phenom 8600 Triple-Core,95.0
AMD Phenom 8600B Triple-Core,95.0
AMD Phenom 8650 Triple-Core,95.0
AMD Phenom 8750 Triple-Core,95.0
